,Cognitive State (COGSTATE)
STUDY_ID,
SUBJ_ID,-0.03592196898107195
VISIT_NAME,-0.004931016184306388
Source Of Information (PTCGBOTH),0.1869687892043751
Experienced Cognitive Decline (COGDECLN),0.7328993306176723
Functional Impairment Due To Cognitive (FNCDTCOG),0.47414124896446935
Cognitive State (COGSTATE),1.0
Level Of Confidence Cognitive Diagnosis (COGDXCL),-0.4623856854863904
Review Neuropsychological Tests (RVWNPSY),0.1682864734429554
Age,0.22858824142960285
Ethnicity,0.022265502359931525
Race,-0.057579674689582964
Sex,0.11066535263126069
Identify Self As Asian (RAASIAN),0.018713004442849738
Identify Self As Black/African American (RABLACK),0.03987014909470797
Identify Self As Hawaiian/Other Pacific Islander (RAHAWOPI),
Identify Self As Indian/Alaska Native (RAINDALS),0.03491934217424912
Identify Self As White (RAWHITE),-0.05759568594561904
Race Not Specified (RANOS),0.06275695166863024
Appropriate Diagnosis (APPRDX),0.08319676643169595
Current Appropriate Diagnosis (CURRENT_APPRDX),0.08832084959038726
Any Biological Mother With PD (BIOMOMPD),0.013864129563307378
Any Biological Father With PD (BIODADPD),0.012555378253734234
Any Full Siblings With PD (FULSIBPD),-0.0826868992827572
Any Half Siblings With PD (HAFSIBPD),-0.03421017613186261
Any Maternal Grandparents With PD (MAGPARPD),0.022183954492755512
Any Children With PD (KIDSPD),-0.04012842564094742
Any Paternal Grandparents With PD (PAGPARPD),-0.014897267199871894
Any Maternal Aunts And Uncles With PD (MATAUPD),0.01765091917375896
Any Paternal Aunts And Uncles With PD (PATAUPD),0.01785901309938099
Biological Father With PD (BIODADPD),-0.0021622809913020226
Biological Mother With PD (BIOMOMPD),-0.01543937138930536
Full Siblings (FULSIB),0.07378238497621302
Full Siblings With PD (FULSIBPD),0.09478323502239688
Half Siblings (HAFSIB),0.06026540139164576
Maternal Grandparents (MAGPAR),
Maternal Grandparents With PD (MAGPARPD),-0.01817466302470602
Paternal Grandparents (PAGPAR),
Paternal Grandparents With PD (PAGPARPD),0.032688670407040904
Maternal Aunts And Uncles (MATAU),-0.00844378481306904
Maternal Aunts And Uncles With PD (MATAUPD),0.0022706688223186385
Paternal Aunts And Uncles (PATAU),0.001646598610216101
Paternal Aunts And Uncles With PD (PATAUPD),0.002402585802992216
How Many Children Do You Have (KIDSNUM),0.001788154200387863
How Many Children With PD (KIDSPD),0.03548615981572634
Brain MRI Was Completed (MRICMPLT),-0.03727818068571205
DTI MRI Scan (MRIWDTI),0.05214418603056523
MRI With Resting State Sequences (MRIWRSS),-0.003640888934493139
MRI Data Transfer (MRIXFRYN),-0.04041611697261198
MRI Results (MRIRSLT),0.020557538416574272
Time Of Last Meal (LMTM),-0.030038305515832333
Fasting Status (FASTSTAT),0.005434297527121642
Is Subject On Medication For PD (PDMEDYN)19,0.04900934122831362
Urine Specimen (UASPEC),0.08796960279529474
Time Of Urine Tube 1 Collection (UT1TM),0.03188482587224758
Time Of Urine Centrifugation (UT1SPNTM),0.03278165284303555
Rate Of Urine Centrifugation (UT1SPNRT),0.008837912007665968
Duration Of Urine Centrifugation (UT1SPNDR),0.019815845330492163
Temperature Of Urine Centrifugation (UT1CFRG),-0.004712167740353345
Time Urine Tube 1 Placed In Freezer (UT1FTM),0.03441475382055099
